Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-15-33rv1g22.h264,1314.156553287,74.860952380,Julia Child,Ryan Blake
cpb-aacip-15-33rv1g22.h264,1393.847437641,29.987845804,Julia Child,Ryan Blake
cpb-aacip-15-33rv1g22.h264,1426.541133786,40.139410430,Julia Child,Ryan Blake
cpb-aacip-15-33rv1g22.h264,1469.358730158,15.400000000,Julia Child,Ryan Blake
cpb-aacip-15-33rv1g22.h264,1487.191655328,3.065034013,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,71.400000000,13.400000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,105.800000000,42.000000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,153.000000000,46.400000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,220.604081632,346.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,645.200000000,476.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1274.057142857,3.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1291.493877551,133.400000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1442.873469387,13.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1471.412244897,3.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1482.514285714,4.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1491.134693877,13.714285714,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1510.987755102,75.200000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1593.077551020,85.000000000,Julia Child,Ryan Blake
cpb-aacip-15-4q7qn5zc65__Barcode23234_.h264,1732.636734693,5.485714285,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,40.359183673,12.734693878,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,146.657233560,1.207437642,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,154.064399093,3.390113379,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,168.298231293,1.671836735,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,177.655873016,36.175056689,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,218.290793651,8.405623583,Julia Child,Ryan Blake
cpb-aacip-15-6663z647.h264,232.454965986,10.774058957,Julia Child,Ryan Blake
