1.194666667,1,815.946666667,Ossie Davis
818.820000000,0,2.400000000,Applause
821.250000000,1,125.770000000,Ossie Davis
948.053333333,0,1.834666667,Applause
951.381333333,1,977.610666667,Ossie Davis
1929.557333333,0,6.058666667,Applause
1936.440000000,1,417.560000000,Ossie Davis
2354.517333333,0,20.906666667,Applause
2375.466666667,1,57.600000000,Ossie Davis
2433.365333333,0,3.413333333,Applause
2436.907500000,1,453.880000000,Ossie Davis
2890.858666667,0,7.080000000,Applause
2898.180000000,1,30.900000000,Ossie Davis
2929.320000000,0,3.720000000,Applause
2935.320000000,1,351.752000000,Ossie Davis
3287.400000000,0,15.960000000,Applause
3303.765333333,1,126.461333333,Ossie Davis
3429.840000000,0,5.040000000,Applause
3434.970000000,1,228.140000000,Ossie Davis
3663.180000000,0,35.880000000,Applause
